common_name,lat,lng
coast redwood,37.0056648254,-122.0641784668
Pacific poison oak,37.0056343079,-122.0657424927
coast redwood,37.0017644065,-122.0637191647
Pacific poison oak,37.0037484449,-122.0666871966
California yerba santa,37.0865425491,-122.0620107651
coast redwood,37.0978000833,-121.9091205833
Pacific poison oak,37.09347,-121.907035
Slender Banana Slug,37.0002171491,-122.0004218818
coast live oak,37.0416702284,-122.0500188601
coast redwood,37.00507,-122.057381
California yerba santa,37.0058326721,-122.0599975586
coast redwood,37.000831604,-122.0577774048
Slender Banana Slug,37.0902111667,-122.0641778333
Pacific poison oak,37.0901638333,-122.0639111667
coast live oak,37.0906833333,-122.0618888333
California yerba santa,37.0892028333,-122.0585638333
Slender Banana Slug,37.0046213529,-122.0460896699
coast redwood,37.0416191,-122.0672252
California poppy,37.0781138333,-122.0784611667
California poppy,37.0350378799,-122.0492250939
coast redwood,37.0234442784,-122.0549969646
Slender Banana Slug,37.0236059394,-122.0574922154
Slender Banana Slug,36.999078479,-122.0629817247
Pacific poison oak,37.0399354259,-122.0457643737
coast redwood,37.0353222778,-122.0476693289
Slender Banana Slug,37.0358111667,-122.0592333333
California poppy,37.0347583333,-122.0496666667
California yerba santa,37.0372805,-122.0533361667
California yerba santa,37.0396528333,-122.0524888333
California poppy,37.0350388333,-122.0490945
Slender Banana Slug,37.0305358339,-122.0559006931
coast redwood,37.0167721667,-122.0027611167
California Newt,37.0803333333,-122.009
California Newt,37.080125,-122.01061945
California Newt,37.090508817,-122.0603370667
California yerba santa,37.0265587466,-122.042398872
Pacific poison oak,37.0261505479,-122.0452798997
California poppy,37.0349471667,-122.0490945
Slender Banana Slug,37.0136916667,-121.9987866667
Slender Banana Slug,37.0374,-122.0618278333
California poppy,37.0781533333,-122.07853
Slender Banana Slug,37.0723428278,-122.0900201573
California yerba santa,37.0895695,-122.0588611667
coast redwood,36.9997291565,-122.0558319092
coast redwood,37.0381611667,-122.0613945
coast redwood,37.0356111667,-122.0596
California Newt,37.0805700761,-122.0622339254
Pacific poison oak,37.0821111667,-122.0597695
Slender Banana Slug,36.9992002,-122.0621932
Slender Banana Slug,36.9988626588,-122.0627617836
California yerba santa,37.0891879867,-122.0587749484
California poppy,37.0873735912,-122.0647616389
coast redwood,37.0312473,-122.0436862
coast live oak,37.0874221667,-122.0667721667
coast redwood,37.0508787568,-122.0837688446
coast redwood,37.0508787568,-122.0837688446
Western Fence Lizard,37.0876416667,-122.0669333333
coast live oak,37.034175,-122.0513445
California yerba santa,37.0231105574,-122.0518477914
California poppy,37.0918111667,-122.0765611667
Western Fence Lizard,37.0966833333,-122.1434028333
California poppy,37.08671,-122.0674216667
California yerba santa,37.0866666667,-122.0672222222
Western Fence Lizard,37.0857435887,-122.0620277858
California yerba santa,37.0857435887,-122.0620277858
Western Fence Lizard,37.0244517457,-121.9594402426
California poppy,37.0564111667,-122.0474471667
California Newt,37.0895195,-122.0648195
Slender Banana Slug,37.0038379003,-122.0554900666
California yerba santa,37.0250281365,-122.0448432863
coast redwood,37.0376583333,-122.0630277778
Western Fence Lizard,37.0872740333,-122.0641810167
California yerba santa,37.0854782034,-121.95206224
Pacific poison oak,37.0856485624,-121.9520321851
coast redwood,37.084432203,-121.9521585956
coast redwood,37.0861972222,-122.134225
coast live oak,37.0617579207,-122.0022908612
coast redwood,37.0224869438,-122.0849227813
Pacific poison oak,37.0229492188,-122.0857772827
coast redwood,37.0217695,-122.0850305
Pacific poison oak,37.0856712805,-122.1129387898
Slender Banana Slug,37.042093,-121.888483
coast redwood,37.0887402225,-122.0912364498
coast redwood,37.081337631,-122.0821715891
California poppy,37.08081094,-122.08291377
Pacific poison oak,37.0218277778,-122.0846777778
Slender Banana Slug,37.0460611111,-122.12735
California yerba santa,37.053075,-122.133325
California yerba santa,37.0504111667,-122.1334916667
Pacific poison oak,37.0190277778,-121.9057305556
coast redwood,37.0266277778,-121.9038777778
Slender Banana Slug,37.0308083333,-121.9019777778
California yerba santa,37.032476035,-122.0458079596
California yerba santa,37.0232800395,-122.0519218036
Western Fence Lizard,37.0809945,-122.0809388333
California poppy,37.0810471667,-122.0815416667
Pacific poison oak,37.04288693,-122.073989
California poppy,37.0348028333,-122.0496611667
California Newt,37.0904221667,-122.0591361667
Pacific poison oak,37.04290405,-122.07437279
coast redwood,37.0965601684,-122.1137546669
California poppy,37.0416191,-122.0672252
coast redwood,37.0416191,-122.0672252
Western Fence Lizard,37.0013771057,-122.0936050415
Slender Banana Slug,37.0159327642,-121.9033915779
California yerba santa,37.0936816642,-121.8753920485
coast live oak,37.1010670502,-121.8969404379
Western Fence Lizard,37.0054027833,-121.9946583333
Mule Deer,37.0413055,-121.9397416667
coast live oak,37.0069583333,-121.9760583333
Pacific poison oak,37.0073166667,-121.975905
coast redwood,37.0077861167,-121.9766383333
coast redwood,37.0008666667,-122.0630805
Western Fence Lizard,37.0399278333,-121.9362866667
coast redwood,37.0393916667,-121.9368366667
Pacific poison oak,37.0287868324,-121.994593751
coast live oak,37.0287642364,-121.9943176893
Slender Banana Slug,37.0915555556,-122.1354444444
California yerba santa,37.0510650929,-122.0335970468
Slender Banana Slug,37.06184277,-122.08576356
Western Fence Lizard,37.0360177112,-121.9913534373
Western Fence Lizard,37.0282874511,-121.9946486527
Western Fence Lizard,37.0286858269,-121.9942019211
Western Fence Lizard,37.0289328127,-121.993861712
Western Fence Lizard,36.998886941,-121.9759589621
Western Fence Lizard,36.9989069738,-121.9759430365
Mule Deer,37.0431833333,-122.0660945
coast redwood,37.0393361667,-122.063225
Pacific poison oak,37.0396695,-122.0635388333
Pacific poison oak,37.0641833333,-121.9978333333
California yerba santa,37.0216881903,-122.0475787205
California yerba santa,37.03418445,-122.05120908
Slender Banana Slug,37.0381611667,-122.063675
coast redwood,37.0371778333,-122.0612805
California poppy,37.0068027833,-121.976555
Pacific poison oak,37.0080138833,-121.9762583333
coast live oak,37.0083972167,-121.975175
California poppy,37.0366103647,-122.0509701222
Pacific poison oak,37.0091583333,-121.9759
Western Fence Lizard,37.0079027833,-121.9762283333
coast redwood,37.00895555,-121.9787
California yerba santa,37.0345221667,-122.0503833333
Pacific poison oak,37.0395666667,-121.93622
Pacific poison oak,37.0395666667,-121.93622
California poppy,37.0377063198,-122.0490848646
Slender Banana Slug,37.000819445,-122.0492695
California yerba santa,37.0394678772,-122.0525195434
California poppy,37.034781524,-122.0490965503
Pacific poison oak,37.0398111667,-121.9358666667
coast redwood,37.0397916667,-121.93595
coast redwood,37.0397916667,-121.93595
coast redwood,37.0332277843,-122.0494687677
coast redwood,37.0396278333,-121.9361633333
Pacific poison oak,37.0395611667,-121.9363333333
Pacific poison oak,37.0395666667,-121.9363416667
coast redwood,37.0394388333,-121.9367616667
coast live oak,37.0395055,-121.938195
Pacific poison oak,37.0404361667,-121.938255
coast live oak,37.0408888333,-121.937195
California poppy,37.006794638,-121.9764980861
coast live oak,37.0406444444,-121.9364
coast redwood,37.0404083333,-121.935525
coast live oak,37.0400472222,-121.9365388889
coast live oak,37.0409361111,-121.937125
coast redwood,37.0403944444,-121.9356
Pacific poison oak,37.0403333333,-121.9358888889
coast redwood,37.0506090652,-122.0841985221
Western Fence Lizard,37.0287477815,-121.99442775
Western Fence Lizard,37.0283824434,-121.994366706
Western Fence Lizard,37.0289123467,-121.9943769115
Western Fence Lizard,37.0289706983,-121.9944821968
Western Fence Lizard,37.0287898824,-121.9947810648
Slender Banana Slug,37.0000532778,-122.0623165833
coast redwood,37.03825,-122.0626611667
coast live oak,37.032875,-122.0242778333
coast redwood,37.0509923196,-122.0845554511
Western Fence Lizard,36.9987788911,-121.9759927735
Western Fence Lizard,37.0063388889,-121.9965833333
California poppy,36.9992866667,-121.9782116667
coast redwood,37.0039048753,-122.0653449591
Pacific poison oak,37.0073472167,-121.9758833333
Pacific poison oak,37.00735555,-121.9758833333
Pacific poison oak,37.00735,-121.975875
coast live oak,37.0077777833,-121.97628
Slender Banana Slug,36.9992713928,-121.9056091309
Western Fence Lizard,36.998425,-122.0225611667
coast redwood,37.005615,-121.977759
coast redwood,37.0051446,-121.9777855
Pacific poison oak,37.0051446,-121.9777855
coast redwood,37.0051446,-121.9777855
Pacific poison oak,37.0051446,-121.9777855
California poppy,37.0051446,-121.9777855
Western Fence Lizard,37.0051446,-121.9777855
Western Fence Lizard,37.0051446,-121.9777855
Western Fence Lizard,37.0051446,-121.9777855
California poppy,37.0051446,-121.9777855
California poppy,37.0051446,-121.9777855
Pacific poison oak,37.0290899999,-121.902269125
coast redwood,37.0171192594,-121.9081673026
coast redwood,37.0179020193,-121.9075185433
coast redwood,37.0097035212,-121.9123347849
Pacific poison oak,37.006690972,-121.97932899
coast redwood,37.0066695528,-121.978725493
coast redwood,37.0065881598,-121.9787952304
coast redwood,37.0067123912,-121.9787791371
coast redwood,37.0066395659,-121.9787724316
coast redwood,37.0066802624,-121.9787590206
coast redwood,37.0066888301,-121.9787107408
coast redwood,37.0066010114,-121.9788274169
Western Fence Lizard,37.0092697986,-121.9794631004
Western Fence Lizard,37.0094411461,-121.9788622856
coast redwood,37.0076527833,-121.9768616667
coast redwood,37.00764445,-121.9768533333
coast redwood,37.0076416667,-121.9768366667
coast redwood,37.0040555556,-121.9934
coast live oak,37.0054083333,-121.9963138889
coast redwood,37.0175202,-121.905347
